Date,Open,High,Low,Close,Adj Close,Volume,Interest_Rate,VIX,Return,Target,MA5,MA20,RSI,Rolling_STD_10,Lag1,Lag2,Lag3,Price_Range,Volume_Z,VIX_Change,VIX_Lag1,Interest_Rate_Change,Interest_Rate_Lag1,Dow_1,Dow_2,Dow_3,Dow_4,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Actual_Target,Model_Prediction,Prediction_Correct,Predicted_Up_Probability,Predicted_Down_Probability
2014-09-17,1999.300049,2010.73999,1993.290039,2001.569946,2001.569946,3209420000,2.5999999046325684,12.649999618530273,0.001295643791290102,1,1993.5339842,1996.3574950000002,50.85462325843263,0.0045679010687073645,0.007484376004887938,-0.0007101513806340165,-0.0059625584080529315,17.449951000000056,1.3562709014064047,-0.006284361868248767,12.729999542236328,0.010999917984008789,2.5889999866485596,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1,0.56246316,0.43753684
2014-09-18,2003.069946,2012.339966,2003.069946,2011.359985,2011.359985,3235340000,2.628999948501587,12.029999732971191,0.004891180055718092,0,1996.3159910000002,1997.59999375,58.01184567680606,0.0047675446443486,0.001295643791290102,0.007484376004887938,-0.0007101513806340165,9.270019999999931,1.285094730617115,-0.04901185013878406,12.649999618530273,0.029000043869018555,2.5999999046325684,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0,1,0,0.5516235,0.44837648
2014-09-19,2012.73999,2019.26001,2006.589966,2010.400024,2010.400024,4880220000,2.5869998931884766,12.109999656677246,-0.00047726961218230723,0,2001.287988,1998.5014952000001,54.107773388574785,0.004522172754911082,0.004891180055718092,0.001295643791290102,0.007484376004887938,12.670043999999962,2.7248744375991936,0.0066500353683962565,12.029999732971191,-0.04200005531311035,2.628999948501587,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0,1,0,0.51591855,0.48408145
2014-09-22,2009.079956,2009.079956,1991.01001,1994.290039,1994.290039,3349670000,2.565999984741211,13.6899995803833,-0.008013323123597482,0,2003.3199948000001,1998.79599595,46.028431061092,0.005140180842393536,-0.00047726961218230723,0.004891180055718092,0.001295643791290102,18.069946000000073,0.15677816964153327,0.13047068278279172,12.109999656677246,-0.020999908447265625,2.5869998931884766,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1,0,0.62420654,0.37579346
2014-09-23,1992.780029,1995.410034,1982.77002,1982.77002,1982.77002,3279350000,2.5350000858306885,14.930000305175781,-0.005776501298565662,1,2000.0780028000001,1998.0384947500002,41.881509424643475,0.005042092292227299,-0.008013323123597482,-0.00047726961218230723,0.004891180055718092,12.640014000000065,-0.02695695785859592,0.09057711926955103,13.6899995803833,-0.03099989891052246,2.565999984741211,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1,0.58830243,0.41169757
2014-09-24,1983.339966,1999.790039,1978.630005,1998.300049,1998.300049,3313850000,2.569000005722046,13.270000457763672,0.007832491334522018,0,1999.4240234000001,1997.9524962,50.264216566591884,0.005551780337961019,-0.005776501298565662,-0.008013323123597482,-0.00047726961218230723,21.160033999999996,-0.037580046036861596,-0.11118551999202819,14.930000305175781,0.03399991989135742,2.5350000858306885,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1,0,0.51660746,0.48339254
2014-09-25,1997.319946,1997.319946,1965.98999,1965.98999,1965.98999,3273050000,2.510999917984009,15.640000343322754,-0.0161687725605415,1,1990.3500244,1996.24599595,35.63955376045723,0.007556524925469888,0.007832491334522018,-0.005776501298565662,-0.008013323123597482,31.32995600000004,-0.171966159451458,0.17859832734010972,13.270000457763672,-0.05800008773803711,2.569000005722046,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1,0.56504077,0.43495923
2014-09-26,1966.219971,1986.369995,1966.219971,1982.849976,1982.849976,2929440000,2.5350000858306885,14.850000381469727,0.008575824946087218,0,1984.8400148,1995.5514952500002,44.007677380183075,0.008000970724878355,-0.0161687725605415,0.007832491334522018,-0.005776501298565662,20.15002400000003,-0.7211136126870039,-0.05051150540353444,15.640000343322754,0.024000167846679688,2.510999917984009,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0,1,0,0.5877309,0.41226912
2014-09-29,1978.959961,1981.280029,1964.040039,1977.800049,1977.800049,3094440000,2.490999937057495,15.979999542236328,-0.0025468023608055113,0,1981.5420168,1994.27299795,46.40300911085116,0.008037361321640813,0.008575824946087218,-0.0161687725605415,0.007832491334522018,17.239990000000034,-0.5115043656214824,0.07609421762551927,14.850000381469727,-0.04400014877319336,2.5350000858306885,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1,0,0.5563762,0.44362378
2014-09-30,1978.209961,1985.170044,1968.959961,1972.290039,1972.290039,3951100000,2.507999897003174,16.309999465942383,-0.0027859287407672184,0,1979.4460205999999,1992.7734984499998,41.99510259694186,0.0075764763071645294,-0.0025468023608055113,0.008575824946087218,-0.0161687725605415,16.21008299999994,0.8819490049455135,0.020650809334120446,15.979999542236328,0.01699995994567871,2.490999937057495,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1,0,0.60024214,0.39975786
2014-10-01,1971.439941,1971.439941,1941.719971,1946.160034,1946.160034,4188590000,2.4030001163482666,16.709999084472656,-0.013248561055071106,1,1969.0180176000001,1990.0455016,34.961606470588166,0.008373236024837692,-0.0027859287407672184,-0.0025468023608055113,0.008575824946087218,29.719970000000103,1.059329113477417,0.024524808806127174,16.309999465942383,-0.10499978065490723,2.507999897003174,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,1,0.5789122,0.4210878
2014-10-02,1945.829956,1952.319946,1926.030029,1946.170044,1946.170044,4012510000,2.437999963760376,16.15999984741211,5.143461907053393e-06,1,1965.0540284000003,1987.4715026,37.5906216481554,0.008011123377569606,-0.013248561055071106,-0.0027859287407672184,-0.0025468023608055113,26.28991700000006,0.6333213243276126,-0.032914378647190934,16.709999084472656,0.034999847412109375,2.4030001163482666,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1,1,1,0.5714243,0.4285757
2014-10-03,1948.119995,1971.189941,1948.119995,1967.900024,1967.900024,3560970000,2.447000026702881,14.550000190734863,0.011165509440962396,0,1962.064038,1985.48100575,45.46521781389033,0.009215975242881796,5.143461907053393e-06,-0.013248561055071106,-0.0027859287407672184,23.069946000000073,0.15618380170823526,-0.09962869256679319,16.15999984741211,0.009000062942504883,2.437999963760376,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,1,0,0.5450654,0.4549346
2014-10-06,1970.01001,1977.839966,1958.430054,1964.819946,1964.819946,3358220000,2.424999952316284,15.460000038146973,-0.0015651597959429608,0,1959.4680174,1983.6450011000002,39.78346005319509,0.008978481564552013,0.011165509440962396,5.143461907053393e-06,-0.013248561055071106,19.409912000000077,-0.32828063226203935,0.06254294401944938,14.550000190734863,-0.02200007438659668,2.447000026702881,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,1,0,0.5827123,0.4172877
2014-10-07,1962.359985,1962.359985,1934.869995,1935.099976,1935.099976,3687870000,2.3499999046325684,17.200000762939453,-0.015126052674955925,1,1952.0300048000001,1980.9780028500002,32.89590083905999,0.009916701508524384,-0.0015651597959429608,0.011165509440962396,5.143461907053393e-06,27.489990000000034,0.3621466943916807,0.11254855889386106,15.460000038146973,-0.07500004768371582,2.424999952316284,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,1,0.5915584,0.4084416
2014-10-08,1935.550049,1970.359985,1925.25,1968.890015,1968.890015,4441890000,2.3299999237060547,15.109999656677246,0.017461650260492734,0,1956.576001,1979.6380065499998,40.273015730681514,0.011378892494722818,-0.015126052674955925,-0.0015651597959429608,0.011165509440962396,45.10998500000005,1.600724942753542,-0.12151168683465974,17.200000762939453,-0.019999980926513672,2.3499999046325684,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0,1,0,0.551202,0.448798
2014-10-09,1967.680054,1967.680054,1927.560059,1928.209961,1928.209961,4344020000,2.3269999027252197,18.760000228881836,-0.020661415157819274,0,1952.9839844000003,1976.17600705,34.07355445061921,0.012092101856390368,0.017461650260492734,-0.015126052674955925,-0.0015651597959429608,40.11999500000002,1.1301428125692738,0.24156192290789513,15.109999656677246,-0.003000020980834961,2.3299999237060547,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0,1,0,0.61972386,0.38027614
2014-10-10,1925.630005,1936.97998,1906.050049,1906.130005,1906.130005,4550540000,2.306999921798706,21.239999771118164,-0.011451012310168207,0,1940.6299806,1972.20550535,33.303031579659645,0.011824833368067687,-0.020661415157819274,0.017461650260492734,-0.015126052674955925,30.929931000000124,1.3038677371298677,0.1321961360329975,18.760000228881836,-0.019999980926513672,2.3269999027252197,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,1,0,0.59944034,0.40055966
